Log Name: DT
Description: Delta-T {F13.4}
Type: Sonic
Curve UOM: US/F
Depth UOM: Meters
Source: <SeisWare.seisware_sdk_311.ID; proxy of <Swig Object of type 'SeisWare::UserKey *' at 0x000001BC29537780> >
Null Value: -999.2500
Top Depth: 1308.0492
Base Depth: 1758.0864
Depth Increment: 0.1524
Depth,Value
1481.6328,61.2401
1481.7852,61.9014
1481.9376,62.1787
1482.0900,62.5923
1482.2424,62.5046
1482.3948,61.7342
1482.5472,61.8267
1482.6996,61.3832
1482.8520,60.7674
1483.0044,59.8922
1483.1568,59.9710
1483.3092,58.0217
1483.4616,57.1854
1483.6140,58.5017
1483.7664,59.2959
1483.9188,62.7736
1484.0712,63.6287
1484.2236,64.8204
1484.3760,65.8286
1484.5284,67.4624
1484.6808,68.1306
1484.8332,70.7368
1484.9856,68.8912
1485.1380,68.1725
1485.2904,64.3137
1485.4428,63.6840
1485.5952,63.9966
1485.7476,65.7251
1485.9000,66.5872
1486.0524,66.8302
1486.2048,69.1012
1486.3572,68.6186
1486.5096,68.1592
1486.6620,65.4395
1486.8144,60.6434
1486.9668,60.5049
1487.1192,59.8529
1487.2716,59.3917
1487.4240,60.3073
